service_id,date,exception_type
FRPD4-FR_D4-Weekday-04-SDon,20240904,2
FRPD4-FR_D4-Weekday-04-SDon,20241003,2
FRPD4-FR_D4-Weekday-04-SDon,20241004,2
FRPD4-FR_D4-Weekday-04-SDon,20241014,2
FRPD4-FR_D4-Weekday-04-SDon,20241101,2
FRPD4-FR_D4-Weekday-04-SDon,20241105,2
FRPD4-FR_D4-Weekday-04-SDon,20241111,2
FRPD4-FR_D4-Weekday-04-SDon,20241223,2
FRPD4-FR_D4-Weekday-04-SDon,20241224,2
FRPD4-FR_D4-Weekday-04-SDon,20241226,2
FRPD4-FR_D4-Weekday-04-SDon,20241227,2
FRPD4-FR_D4-Weekday-04-SDon,20241230,2
FRPD4-FR_D4-Weekday-04-SDon,20241231,2
FRPD4-FR_D4-Weekday-04,20240903,1
FRPD4-FR_D4-Weekday-04,20240904,1
FRPD4-FR_D4-Weekday-04,20241003,1
FRPD4-FR_D4-Weekday-04,20241004,1
FRPD4-FR_D4-Weekday-04,20241014,1
FRPD4-FR_D4-Weekday-04,20241101,1
FRPD4-FR_D4-Weekday-04,20241105,1
FRPD4-FR_D4-Weekday-04,20241111,1
FRPD4-FR_D4-Weekday-04,20241223,1
FRPD4-FR_D4-Weekday-04,20241224,1
FRPD4-FR_D4-Weekday-04,20241226,1
FRPD4-FR_D4-Weekday-04,20241227,1
FRPD4-FR_D4-Weekday-04,20241230,1
FRPD4-FR_D4-Weekday-04,20241231,1
JKPD4-JK_D4-Sunday-04,20240902,1
JKPD4-JK_D4-Sunday-04,20241128,1
JKPD4-JK_D4-Sunday-04,20241225,1
JKPD4-JK_D4-Sunday-04,20250101,1
JKPD4-JK_D4-Weekday-04-SDon,20241128,2
JKPD4-JK_D4-Weekday-04-SDon,20241129,2
JKPD4-JK_D4-Weekday-04-SDon,20241225,2
JKPD4-JK_D4-Weekday-04-SDon,20250101,2
JKPD4-JK_D4-Weekday-04-SDon,20240903,2
JKPD4-JK_D4-Weekday-04-SDon,20240904,2
JKPD4-JK_D4-Weekday-04-SDon,20241003,2
JKPD4-JK_D4-Weekday-04-SDon,20241004,2
JKPD4-JK_D4-Weekday-04-SDon,20241014,2
JKPD4-JK_D4-Weekday-04-SDon,20241101,2
JKPD4-JK_D4-Weekday-04-SDon,20241105,2
JKPD4-JK_D4-Weekday-04-SDon,20241111,2
JKPD4-JK_D4-Weekday-04-SDon,20241223,2
JKPD4-JK_D4-Weekday-04-SDon,20241224,2
JKPD4-JK_D4-Weekday-04-SDon,20241226,2
JKPD4-JK_D4-Weekday-04-SDon,20241227,2
JKPD4-JK_D4-Weekday-04-SDon,20241230,2
JKPD4-JK_D4-Weekday-04-SDon,20241231,2
JKPD4-JK_D4-Weekday-04,20240903,1
JKPD4-JK_D4-Weekday-04,20240904,1
JKPD4-JK_D4-Weekday-04,20241003,1
JKPD4-JK_D4-Weekday-04,20241004,1
JKPD4-JK_D4-Weekday-04,20241014,1
JKPD4-JK_D4-Weekday-04,20241101,1
JKPD4-JK_D4-Weekday-04,20241105,1
JKPD4-JK_D4-Weekday-04,20241111,1
JKPD4-JK_D4-Weekday-04,20241223,1
JKPD4-JK_D4-Weekday-04,20241224,1
JKPD4-JK_D4-Weekday-04,20241226,1
JKPD4-JK_D4-Weekday-04,20241227,1
JKPD4-JK_D4-Weekday-04,20241230,1
JKPD4-JK_D4-Weekday-04,20241231,1
LGPD4-LG_D4-Sunday-04,20240902,1
LGPD4-LG_D4-Sunday-04,20241128,1
LGPD4-LG_D4-Sunday-04,20241225,1
LGPD4-LG_D4-Sunday-04,20250101,1
LGPD4-LG_D4-Weekday-04,20241128,2
LGPD4-LG_D4-Weekday-04,20241129,2
LGPD4-LG_D4-Weekday-04,20241225,2
LGPD4-LG_D4-Weekday-04,20250101,2
SCPD4-SC_D4-Sunday-04,20240902,1
SCPD4-SC_D4-Sunday-04,20241128,1
SCPD4-SC_D4-Sunday-04,20241225,1
SCPD4-SC_D4-Sunday-04,20250101,1
SCPD4-SC_D4-Weekday-04-SDon,20241128,2
SCPD4-SC_D4-Weekday-04-SDon,20241129,2
SCPD4-SC_D4-Weekday-04-SDon,20241225,2
SCPD4-SC_D4-Weekday-04-SDon,20250101,2
SCPD4-SC_D4-Weekday-04-SDon,20240903,2
SCPD4-SC_D4-Weekday-04-SDon,20240904,2
SCPD4-SC_D4-Weekday-04-SDon,20241003,2
SCPD4-SC_D4-Weekday-04-SDon,20241004,2
SCPD4-SC_D4-Weekday-04-SDon,20241014,2
SCPD4-SC_D4-Weekday-04-SDon,20241101,2
SCPD4-SC_D4-Weekday-04-SDon,20241105,2
SCPD4-SC_D4-Weekday-04-SDon,20241111,2
SCPD4-SC_D4-Weekday-04-SDon,20241223,2
SCPD4-SC_D4-Weekday-04-SDon,20241224,2
SCPD4-SC_D4-Weekday-04-SDon,20241226,2
SCPD4-SC_D4-Weekday-04-SDon,20241227,2
SCPD4-SC_D4-Weekday-04-SDon,20241230,2
SCPD4-SC_D4-Weekday-04-SDon,20241231,2
SCPD4-SC_D4-Weekday-04,20240903,1
SCPD4-SC_D4-Weekday-04,20240904,1
SCPD4-SC_D4-Weekday-04,20241003,1
SCPD4-SC_D4-Weekday-04,20241004,1
SCPD4-SC_D4-Weekday-04,20241014,1
SCPD4-SC_D4-Weekday-04,20241101,1
SCPD4-SC_D4-Weekday-04,20241105,1
SCPD4-SC_D4-Weekday-04,20241111,1
SCPD4-SC_D4-Weekday-04,20241223,1
SCPD4-SC_D4-Weekday-04,20241224,1
SCPD4-SC_D4-Weekday-04,20241226,1
SCPD4-SC_D4-Weekday-04,20241227,1
SCPD4-SC_D4-Weekday-04,20241230,1
SCPD4-SC_D4-Weekday-04,20241231,1
YOPD4-YO_D4-Sunday-04,20240902,1
YOPD4-YO_D4-Sunday-04,20241128,1
YOPD4-YO_D4-Sunday-04,20241225,1
YOPD4-YO_D4-Sunday-04,20250101,1
YOPD4-YO_D4-Weekday-04,20241128,2
YOPD4-YO_D4-Weekday-04,20241129,2
YOPD4-YO_D4-Weekday-04,20241225,2
YOPD4-YO_D4-Weekday-04,20250101,2
